onset	duration	sample	value
534.8671875	n/a	547705	4311
534.9345703125	n/a	547774	1112
536.984375	n/a	549873	2622
537.3330078125	n/a	550230	4210
538.1259765625	n/a	551042	4230
540.515625	n/a	553489	1311
540.6552734375	n/a	553632	1312
542.0986328125	n/a	555110	1311
542.2197265625	n/a	555234	1312
542.890625	n/a	555921	1121
543.7783203125	n/a	556830	4311
543.833984375	n/a	556887	1122
546.654296875	n/a	559775	4210
547.4453125	n/a	560585	4312
550.1162109375	n/a	563320	1111
551.0712890625	n/a	564298	4311
551.10546875	n/a	564333	4220
551.138671875	n/a	564367	1112
553.5146484375	n/a	566800	4210
553.798828125	n/a	567091	1311
553.935546875	n/a	567231	1312
556.875	n/a	570241	4312
558.416015625	n/a	571819	1311
558.5400390625	n/a	571946	1312
559.5390625	n/a	572969	1111
560.3505859375	n/a	573800	4311
560.40625	n/a	573857	1112
560.498046875	n/a	573951	4220
562.32421875	n/a	575821	4210
563.7978515625	n/a	577330	4312
567.4697265625	n/a	581090	3200
567.734375	n/a	581361	2621
572.8720703125	n/a	586622	1111
573.5048828125	n/a	587270	4311
573.5380859375	n/a	587304	1112
573.548828125	n/a	587315	4220
575.5859375	n/a	589401	4210
575.984375	n/a	589809	2622
576.328125	n/a	590161	4312
586.2158203125	n/a	600286	1311
586.3203125	n/a	600393	1312
586.794921875	n/a	600879	1311
586.9326171875	n/a	601020	1312
587.857421875	n/a	601967	1111
588.4794921875	n/a	602604	4311
588.5126953125	n/a	602638	1112
588.7548828125	n/a	602886	4220
590.0771484375	n/a	604240	4210
594.3408203125	n/a	608606	1121
595.3076171875	n/a	609596	4230
595.44140625	n/a	609733	4311
595.51953125	n/a	609813	1122
599.3017578125	n/a	613686	4210
600.1650390625	n/a	614570	4312
600.4560546875	n/a	614868	1121
601.234375	n/a	615665	4230
601.5009765625	n/a	615938	4311
601.5673828125	n/a	616006	1122
604.427734375	n/a	618935	4210
605.30078125	n/a	619829	4312
605.7470703125	n/a	620286	1311
605.8798828125	n/a	620422	1312
607.7294921875	n/a	622316	3200
607.984375	n/a	622577	2621
613.2880859375	n/a	628008	1111
613.3994140625	n/a	628122	1112
614.0458984375	n/a	628784	1311
614.1494140625	n/a	628890	1312
616.234375	n/a	631025	2622
620.2021484375	n/a	635088	1111
621.0673828125	n/a	635974	4311
621.1005859375	n/a	636008	4220
621.123046875	n/a	636031	1112
623.125	n/a	638081	4210
624.1044921875	n/a	639084	4230
625.4443359375	n/a	640456	1311
625.5458984375	n/a	640560	1312
625.8935546875	n/a	640916	4210
625.8935546875	n/a	640916	4312
626.96484375	n/a	642013	1311
627.111328125	n/a	642163	1312
627.828125	n/a	642897	1121
628.3935546875	n/a	643476	4230
628.716796875	n/a	643807	4311
628.7724609375	n/a	643864	1122
631.2138671875	n/a	646364	4210
632.1142578125	n/a	647286	4312
633.7890625	n/a	649001	1111
634.4990234375	n/a	649728	4220
634.5986328125	n/a	649830	4311
634.654296875	n/a	649887	1112
636.78515625	n/a	652069	4210
638.013671875	n/a	653327	1311
638.140625	n/a	653457	1312
638.5048828125	n/a	653830	4312
638.5146484375	n/a	653840	1311
638.6572265625	n/a	653986	1312
639.552734375	n/a	654903	1111
640.4072265625	n/a	655778	4311
640.462890625	n/a	655835	1112
640.53515625	n/a	655909	4220
642.615234375	n/a	658039	4210
643.794921875	n/a	659247	1311
643.8642578125	n/a	659318	4312
643.931640625	n/a	659387	1312
647.984375	n/a	663537	3200
648.263671875	n/a	663823	1111
648.484375	n/a	664049	2621
649.0185546875	n/a	664596	4311
649.0625	n/a	664641	1112
649.0947265625	n/a	664674	4220
650.474609375	n/a	666087	4210
651.8447265625	n/a	667490	4230
653.484375	n/a	669169	4210
653.484375	n/a	669169	4312
655.9765625	n/a	671721	1121
656.484375	n/a	672241	2622
656.787109375	n/a	672551	4311
656.841796875	n/a	672607	4230
656.841796875	n/a	672607	1122
658.404296875	n/a	674207	4210
660.5849609375	n/a	676440	4312
662.87109375	n/a	678781	1111
663.6484375	n/a	679577	4220
663.7490234375	n/a	679680	4311
663.8037109375	n/a	679736	1112
665.4560546875	n/a	681428	4210
665.7177734375	n/a	681696	1311
665.845703125	n/a	681827	1312
666.4658203125	n/a	682462	4230
667.39453125	n/a	683413	4210
667.634765625	n/a	683659	4312
668.93359375	n/a	684989	1121
669.6337890625	n/a	685706	4230
669.8984375	n/a	685977	4311
669.9658203125	n/a	686046	1122
672.107421875	n/a	688239	4210
673.3271484375	n/a	689488	4312
674.98828125	n/a	691189	1121
675.865234375	n/a	692087	4311
675.919921875	n/a	692143	1122
675.9306640625	n/a	692154	4230
677.501953125	n/a	693763	4210
678.912109375	n/a	695207	4220
680.720703125	n/a	697059	4210
683.04296875	n/a	699437	4312
683.8447265625	n/a	700258	1111
684.4775390625	n/a	700906	4220
