onset	duration	sample	value	gid
1800.455078125	n/a	1843667	1312	1198
1800.455078125	n/a	1843667	1331	4030
1807.2841796875	n/a	1850660	2120	0
1810.685546875	n/a	1854143	1332	4030
1810.685546875	n/a	1854143	1341	4040
1818.75	n/a	1862401	2120	0
1820.92578125	n/a	1864629	1342	4040
1820.92578125	n/a	1864629	1311	1241
1826.259765625	n/a	1870091	2110	0
1826.8505859375	n/a	1870696	1312	1241
1826.8505859375	n/a	1870696	1311	1009
1835.4833984375	n/a	1879536	2120	0
1837.25390625	n/a	1881349	1312	1009
1837.25390625	n/a	1881349	1321	4014
1840.138671875	n/a	1884303	2120	0
1841.91015625	n/a	1886117	1322	4014
1841.91015625	n/a	1886117	1311	1016
1845.5703125	n/a	1889865	2110	0
1846.142578125	n/a	1890451	1312	1016
1846.142578125	n/a	1890451	1361	4044
1848.0185546875	n/a	1892372	2120	0
1851.3193359375	n/a	1895752	1362	4044
1851.3193359375	n/a	1895752	1311	1072
1857.75390625	n/a	1902341	2110	0
1858.375	n/a	1902977	1312	1072
1858.375	n/a	1902977	1311	1196
1863.2021484375	n/a	1907920	2110	0
1867.8173828125	n/a	1912646	1312	1196
1867.8173828125	n/a	1912646	1311	1157
1874.361328125	n/a	1919347	2110	0
1874.9521484375	n/a	1919952	1312	1157
1874.9521484375	n/a	1919952	1311	1003
1878.8095703125	n/a	1923902	2110	0
1879.37890625	n/a	1924485	1312	1003
1879.37890625	n/a	1924485	1311	1050
1884.6494140625	n/a	1929882	2110	0
1885.244140625	n/a	1930491	1312	1050
1885.244140625	n/a	1930491	1311	1005
1890.625	n/a	1936001	2110	0
1891.2197265625	n/a	1936610	1312	1005
1891.2197265625	n/a	1936610	1331	4020
1895.9365234375	n/a	1941440	2120	0
1898.4072265625	n/a	1943970	1332	4020
1898.4072265625	n/a	1943970	1311	1227
1904.7685546875	n/a	1950484	2110	0
1905.3623046875	n/a	1951092	1312	1227
1905.3623046875	n/a	1951092	1311	1228
1910.3447265625	n/a	1956194	2110	0
1910.9384765625	n/a	1956802	1312	1228
1910.9384765625	n/a	1956802	1311	1187
1915.4404296875	n/a	1961412	2110	0
1916.029296875	n/a	1962015	1312	1187
1916.029296875	n/a	1962015	1311	1044
1922.2001953125	n/a	1968334	2110	0
1922.8212890625	n/a	1968970	1312	1044
1922.8212890625	n/a	1968970	1311	1102
1926.9384765625	n/a	1973186	2110	0
1927.5380859375	n/a	1973800	1312	1102
1927.5380859375	n/a	1973800	1311	1204
1936.294921875	n/a	1982767	2110	0
1936.900390625	n/a	1983387	1312	1204
1936.900390625	n/a	1983387	1311	1177
1941.9296875	n/a	1988537	2110	0
1942.546875	n/a	1989169	1312	1177
1942.546875	n/a	1989169	1311	1079
1948.279296875	n/a	1995039	2120	0
1950.4013671875	n/a	1997212	1312	1079
1950.4013671875	n/a	1997212	1242	0
1977.07421875	n/a	2024525	1211	0
1977.07421875	n/a	2024525	1311	1125
1987.8369140625	n/a	2035546	2110	0
1992.9638671875	n/a	2040796	1312	1125
1992.9638671875	n/a	2040796	1311	1034
1998.189453125	n/a	2046147	2110	0
2002.0478515625	n/a	2050098	1312	1034
2002.0478515625	n/a	2050098	1321	4017
2003.63671875	n/a	2051725	2120	0
2015.015625	n/a	2063377	1322	4017
2015.015625	n/a	2063377	1311	1065
2020.244140625	n/a	2068731	2110	0
2054.0751953125	n/a	2103374	1312	1065
2054.0751953125	n/a	2103374	1311	1134
2058.986328125	n/a	2108403	2110	0
2059.5732421875	n/a	2109004	1312	1134
2059.5732421875	n/a	2109004	1311	1244
2065.0107421875	n/a	2114572	2110	0
2065.5859375	n/a	2115161	1312	1244
2065.5859375	n/a	2115161	1331	4028
2071.498046875	n/a	2121215	2120	0
2073.984375	n/a	2123761	1332	4028
2073.984375	n/a	2123761	1311	1083
2079.5615234375	n/a	2129472	2110	0
2080.1708984375	n/a	2130096	1312	1083
2080.1708984375	n/a	2130096	1311	1138
2084.4736328125	n/a	2134502	2110	0
2085.060546875	n/a	2135103	1312	1138
2085.060546875	n/a	2135103	1331	4022
2087.697265625	n/a	2137803	2120	0
2090.4443359375	n/a	2140616	1332	4022
2090.4443359375	n/a	2140616	1311	1148
2094.4990234375	n/a	2144768	2110	0
2095.10546875	n/a	2145389	1312	1148
2095.10546875	n/a	2145389	1311	1105
2100.3369140625	n/a	2150746	2110	0
2100.927734375	n/a	2151351	1312	1105
2100.927734375	n/a	2151351	1311	1055
2106.2890625	n/a	2156841	2110	0
2106.9169921875	n/a	2157484	1312	1055
2106.9169921875	n/a	2157484	1311	1113
2111.3369140625	n/a	2162010	2110	0
2111.947265625	n/a	2162635	1312	1113
2111.947265625	n/a	2162635	1311	1225
2119.4326171875	n/a	2170300	2110	0
2120.0185546875	n/a	2170900	1312	1225
2120.0185546875	n/a	2170900	1311	1062
2124.0078125	n/a	2174985	2110	0
2136.1767578125	n/a	2187446	1312	1062
2136.1767578125	n/a	2187446	1311	1007
2141.330078125	n/a	2192723	2110	0
2169.10546875	n/a	2221165	1312	1007
2169.10546875	n/a	2221165	1311	1096
2174.58203125	n/a	2226773	2110	0
2177.2314453125	n/a	2229486	1312	1096
2177.2314453125	n/a	2229486	1311	1235
2181.8935546875	n/a	2234260	2110	0
2182.4873046875	n/a	2234868	1312	1235
2182.4873046875	n/a	2234868	1311	1208
2188.1337890625	n/a	2240650	2110	0
2188.732421875	n/a	2241263	1312	1208
2188.732421875	n/a	2241263	1311	1078
2191.93359375	n/a	2244541	2110	0
2192.5087890625	n/a	2245130	1312	1078
2192.5087890625	n/a	2245130	1331	4026
2196.357421875	n/a	2249071	2110	0
2196.9775390625	n/a	2249706	1332	4026
2196.9775390625	n/a	2249706	1311	1131
2202.0546875	n/a	2254905	2110	0
2202.6640625	n/a	2255529	1312	1131
2202.6640625	n/a	2255529	1311	1231
2206.9091796875	n/a	2259876	2110	0
2207.521484375	n/a	2260503	1312	1231
2207.521484375	n/a	2260503	1311	1168
2211.7470703125	n/a	2264830	2110	0
2212.322265625	n/a	2265419	1312	1168
2212.322265625	n/a	2265419	1311	1040
2216.1162109375	n/a	2269304	2110	0
2216.6884765625	n/a	2269890	1312	1040
